,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
140,exe_spgemm_cusparse_16,/ssget/MM/SNAP/as-caida/as-caida.cbd,2,2,2,31379,31379,106762,10.09833,29919302,5.925594033865004
141,exe_spgemm_cusparse_32,/ssget/MM/SNAP/as-caida/as-caida.cbd,4,4,4,31379,31379,106762,10.40237,29919302,5.752401039378527
142,exe_spgemm_cusparse_64,/ssget/MM/SNAP/as-caida/as-caida.cbd,8,8,8,31379,31379,106762,12.44913,29919302,4.8066494606450405
143,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/as-caida/as-caida.cbd,2,2,2,31379,31379,106762,10.12297,29919302,5.91117073349027
144,exe_spgemm_cusparse_16,/ssget/MM/SNAP/soc-sign-Slashdot081106/soc-sign-Slashdot081106.cbd,2,2,2,77357,77357,516575,7.80362,21584062,5.531807545728777
145,exe_spgemm_cusparse_32,/ssget/MM/SNAP/soc-sign-Slashdot081106/soc-sign-Slashdot081106.cbd,4,4,4,77357,77357,516575,8.01357,21584062,5.386878008178627
146,exe_spgemm_cusparse_64,/ssget/MM/SNAP/soc-sign-Slashdot081106/soc-sign-Slashdot081106.cbd,8,8,8,77357,77357,516575,8.83244,21584062,4.887451712097676
147,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/soc-sign-Slashdot081106/soc-sign-Slashdot081106.cbd,2,2,2,77357,77357,516575,7.81465,21584062,5.523999667291561
148,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella08/p2p-Gnutella08.cbd,2,2,2,6301,6301,20777,0.14739,94194,1.2781599837166702
149,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella08/p2p-Gnutella08.cbd,4,4,4,6301,6301,20777,0.14733,94194,1.2786805131337815
150,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella08/p2p-Gnutella08.cbd,8,8,8,6301,6301,20777,0.14197,94194,1.3269563992392759
151,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella08/p2p-Gnutella08.cbd,2,2,2,6301,6301,20777,0.14745,94194,1.2776398779247202
152,exe_spgemm_cusparse_16,/ssget/MM/SNAP/com-Amazon/com-Amazon.cbd,2,2,2,334863,334863,1851744,5.14328,21356116,8.30447340996407
153,exe_spgemm_cusparse_32,/ssget/MM/SNAP/com-Amazon/com-Amazon.cbd,4,4,4,334863,334863,1851744,5.13406,21356116,8.31938699586682
154,exe_spgemm_cusparse_64,/ssget/MM/SNAP/com-Amazon/com-Amazon.cbd,8,8,8,334863,334863,1851744,6.27272,21356116,6.809204300526726
155,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/com-Amazon/com-Amazon.cbd,2,2,2,334863,334863,1851744,5.15985,21356116,8.277804974950824
156,exe_spgemm_cusparse_16,/ssget/MM/SNAP/soc-Epinions1/soc-Epinions1.cbd,2,2,2,75888,75888,508837,12.32874,39924100,6.476590470721258
157,exe_spgemm_cusparse_32,/ssget/MM/SNAP/soc-Epinions1/soc-Epinions1.cbd,4,4,4,75888,75888,508837,12.83316,39924100,6.222021700033352
158,exe_spgemm_cusparse_64,/ssget/MM/SNAP/soc-Epinions1/soc-Epinions1.cbd,8,8,8,75888,75888,508837,15.41878,39924100,5.17863281011857
